Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Leverage,High_Leverage_2p,High_Leverage_3p,Cook_Distance
5.1,3.9,9.2,4.0,1.8,2.52,Low,0.004825362902510262,0,0,9.457663377798614e-06
5.8,1.0,7.7,4.3,5.2,2.8,Low,0.001908965130502693,0,0,0.0004446251779605386
8.3,1.1,9.8,3.5,1.3,3.67,High,0.004839261906017298,0,0,0.0015427518267051516
7.1,1.0,6.8,4.5,4.6,3.27,Moderate,0.00183207062222377,0,0,0.00044543909806014925
5.1,0.5,5.2,0.2,13.0,2.85,High,0.005766109289928916,0,0,0.005360602214623762
7.4,0.4,7.5,2.8,5.9,3.26,Moderate,0.0015897130336700988,0,0,0.000350070504456226
5.9,1.7,7.0,3.7,5.7,2.8,Low,0.0014920190759948066,0,0,0.0006748221496722148
6.9,2.5,7.5,5.1,2.0,3.06,Moderate,0.0014285358490956578,0,0,0.00012444466982014453
8.3,0.7,5.4,3.9,5.7,3.26,High,0.0023841505492848566,0,0,1.2421024090258046e-05
9.7,2.3,6.9,3.3,1.8,3.38,High,0.0019968648745011305,0,0,4.638484225566892e-06
7.3,2.2,9.7,1.9,2.9,3.15,Moderate,0.0018056387658818408,0,0,3.9337097560694074e-05
5.4,1.3,9.2,0.1,8.0,2.69,Low,0.003937505904163688,0,0,3.653671973105078e-05
9.1,1.1,5.6,4.2,4.0,3.54,High,0.002786569976256364,0,0,4.033780562054865e-06
8.7,3.2,6.4,1.0,4.7,3.37,High,0.00228451121873467,0,0,1.625779425043491e-05
8.8,3.2,10.0,0.8,1.2,3.58,High,0.0038751249593181854,0,0,0.0007961621744617393
6.7,3.7,9.3,1.8,2.5,2.89,Moderate,0.00273887604336074,0,0,5.606686867059383e-05
8.8,3.0,5.5,5.4,1.3,3.58,High,0.004179791747495185,0,0,1.0404917957491118e-05
6.6,3.6,6.9,0.1,6.8,2.99,Moderate,0.0025301133238524874,0,0,0.0002918962167483121
9.5,0.4,6.6,5.7,1.8,3.44,High,0.003352518700240513,0,0,8.05005667330851e-06
8.2,1.8,6.5,2.0,5.5,3.35,High,0.0012055082440569158,0,0,2.262618472129621e-05
8.4,3.0,9.0,2.8,0.8,3.26,High,0.00134042294055093,0,0,0.00024372679008380103
5.3,2.2,7.2,5.3,4.0,2.62,Low,0.00290528086534347,0,0,0.00010624795896198637
6.8,0.5,5.7,4.6,6.4,2.86,High,0.0024825301024272543,0,0,0.0002637440077166534
5.4,2.8,5.4,4.9,5.5,2.86,High,0.0029646903184246793,0,0,0.001968136146242179
8.5,0.3,5.4,5.9,3.9,2.99,High,0.004915350531062739,0,0,2.2514231777559512e-05
9.1,3.8,9.9,0.9,0.3,3.08,High,0.004499723352191327,0,0,0.0007050863703320786
6.9,0.3,8.9,3.4,4.5,3.21,Moderate,0.002465489050169603,0,0,6.982896178922523e-05
5.6,2.0,5.1,2.8,8.5,2.81,High,0.0030270791422181463,0,0,0.001076791445551799
5.3,0.5,5.6,3.9,8.7,2.9,High,0.0032594992363197024,0,0,0.002666610299681496
9.8,1.5,6.4,5.2,1.1,3.78,High,0.004076296692336137,0,0,4.018448634386794e-06
6.1,3.9,5.1,5.8,3.1,2.96,High,0.00460744282333906,0,0,0.0008828116908928567
5.4,2.2,9.8,3.1,3.5,2.81,Low,0.0031094278055523498,0,0,1.6681425248216796e-05
8.1,2.8,7.3,3.6,2.2,3.39,High,0.0015319028322216444,0,0,8.69981964001904e-05
5.2,1.1,9.8,5.3,2.6,2.82,Low,0.004946680621106644,0,0,1.0979281540175292e-05
7.3,2.5,6.4,1.1,6.7,2.67,Moderate,0.0034921380538334443,0,0,0.001251653994754929
7.9,0.3,9.9,5.8,0.1,3.08,Moderate,0.0047737272952976485,0,0,0.00019407524900439118
8.5,2.1,6.5,4.9,2.0,3.1,High,0.0019176795093890865,0,0,2.843922375180907e-05
9.6,3.3,9.7,1.0,0.4,3.54,High,0.0040660617449642215,0,0,0.0002023772504406394
8.1,1.7,9.7,3.9,0.6,3.45,High,0.002864902368372768,0,0,0.0011399726282286665
9.9,0.6,8.0,2.1,3.4,3.39,High,0.0030539265987521327,0,0,1.474701332385585e-05
9.8,3.4,9.2,0.7,0.9,3.15,High,0.004144957965582596,0,0,0.00010373924047503519
5.3,3.5,9.1,6.0,0.1,2.68,Low,0.00527995648216856,0,0,3.367364259100339e-05
10.0,2.2,8.8,2.8,0.2,3.41,High,0.002520221284772652,0,0,2.708207623506421e-05
7.3,0.5,9.8,3.6,2.8,3.22,Moderate,0.0030989281506484923,0,0,6.193372855346923e-05
6.1,2.7,8.1,2.1,5.0,2.98,Moderate,0.0013910776853738316,0,0,0.00013005770990214384
7.6,3.1,7.6,4.9,0.8,2.99,Moderate,0.0020666235344012464,0,0,0.0004197947713195602
7.8,2.2,9.4,1.9,2.7,3.3,Moderate,0.0017825659146391835,0,0,0.00012533771415228087
8.5,0.9,5.7,0.1,8.8,3.55,High,0.0038651190768724704,0,0,1.4327825888325482e-05
6.8,2.4,7.0,2.6,5.2,2.97,Moderate,0.0007418181284730013,0,0,9.549684301049722e-05
7.6,3.1,7.0,3.7,2.6,3.28,Moderate,0.0013837713378904903,0,0,0.00049234397046949
9.3,3.8,5.7,4.8,0.4,3.05,High,0.0052613466033325194,0,0,8.840849043321725e-06
7.3,3.9,7.5,1.7,3.6,3.08,Moderate,0.001867805120808815,0,0,0.00031749744113182695
8.2,1.0,5.4,0.8,8.6,3.3,High,0.0029139052668218104,0,0,1.5337982721115417e-05
5.9,1.4,9.5,2.8,4.4,2.7,Low,0.0027176770742600577,0,0,0.00027200679184909664
8.3,0.7,6.0,0.2,8.8,3.14,High,0.0034471367271180814,0,0,3.05589405500365e-05
5.9,0.4,5.6,2.8,9.3,2.73,High,0.0031035646912927527,0,0,0.000987983133637072
6.0,1.5,7.5,4.1,4.9,2.76,Moderate,0.0016700258083169005,0,0,0.0001300400125626165
9.4,3.7,5.3,1.6,4.0,3.45,High,0.004201559404431451,0,0,2.634226188396702e-06
9.0,3.0,5.9,1.3,4.8,3.29,High,0.0027588226352092903,0,0,7.003736249034139e-06
8.1,1.5,7.3,4.5,2.6,2.75,High,0.003799469599314085,0,0,0.0002836517590487039
5.2,1.0,8.6,5.4,3.8,3.4,Low,0.008752163576414642,1,0,3.861265376332869e-05
5.5,1.8,7.7,1.5,7.5,3.05,Low,0.002721021474455173,0,0,0.00012353799039445756
6.3,1.5,5.1,1.9,9.2,2.82,High,0.0028114896734459023,0,0,0.00033564975735512093
5.6,3.6,8.0,4.1,2.7,2.62,Low,0.0032085633108494575,0,0,0.00023019640927242357
8.9,2.0,5.4,3.2,4.5,3.64,High,0.003351027191510407,0,0,5.195636773228307e-06
7.2,0.5,6.4,2.2,7.7,3.19,Moderate,0.0019070388660327997,0,0,0.0007230861955155635
8.2,2.3,6.8,5.9,0.8,2.95,High,0.003353579709808434,0,0,0.0001294329088029737
5.5,0.6,6.2,1.0,10.7,2.94,Low,0.0030761508937589533,0,0,0.0005382577733407907
5.9,1.1,5.9,5.4,5.7,2.89,High,0.002797454696880308,0,0,0.0011472746112169653
7.1,3.9,5.6,2.4,5.0,2.9,High,0.0029351778315250773,0,0,0.00018100064199753506
9.8,3.5,9.1,0.4,1.2,3.57,High,0.0034588321969621573,0,0,6.312529293328692e-05
9.6,2.2,7.9,1.2,3.1,3.24,High,0.002419921772220405,0,0,1.9361200331285275e-05
8.8,0.7,6.6,2.6,5.3,2.99,High,0.0031813106596404995,0,0,2.779155091466149e-05
5.6,2.4,6.4,3.5,6.1,2.85,Low,0.0017481152271236753,0,0,0.0003895460247270938
5.8,1.9,7.7,0.3,8.3,2.7,Low,0.002456418802181612,0,0,0.0005027496875215367
5.3,4.0,6.6,4.9,3.2,2.72,Low,0.003602864117036529,0,0,0.00017460857426260514
6.3,2.7,8.8,3.6,2.6,2.45,Moderate,0.004526668012579208,0,0,0.00019580381351866938
6.7,3.7,9.2,4.2,0.2,2.85,Moderate,0.0028180039620851194,0,0,5.1004690307967196e-05
5.6,2.9,9.7,1.1,4.7,2.86,Low,0.0032290225042619696,0,0,4.567957276963218e-05
7.9,3.4,5.7,4.8,2.2,3.15,High,0.0025725060014056152,0,0,4.5988102844084276e-05
6.0,0.7,5.8,4.9,6.6,2.96,High,0.002605596483343077,0,0,0.0008487202880172719
6.8,3.5,7.0,4.9,1.8,3.44,Moderate,0.004413653434706803,0,0,0.0006019478650892705
7.2,1.5,7.3,1.8,6.2,3.08,Moderate,0.0007280979037527726,0,0,0.00013756834442026024
6.2,3.6,6.9,3.3,4.0,3.27,Moderate,0.0034083691942644297,0,0,0.0002710882185046355
9.5,2.5,5.6,5.6,0.8,3.13,High,0.005030851701792377,0,0,5.044499828426718e-06
5.7,3.2,8.1,3.2,3.8,3.08,Low,0.002677445911147918,0,0,0.00021916514542001292
9.5,3.2,5.8,1.7,3.8,3.59,High,0.0035708631671201915,0,0,3.0084246869490096e-06
5.2,2.3,8.8,5.3,2.4,2.61,Low,0.003948822049657869,0,0,2.1542246093033147e-05
6.7,3.3,5.6,5.1,3.3,2.95,High,0.0026447174161615935,0,0,0.00032293434796181917
9.0,0.6,6.1,4.3,4.0,3.15,High,0.003014874706287544,0,0,1.0764705956515999e-05
8.6,2.6,8.5,2.3,2.0,3.14,High,0.0013928269820660461,0,0,0.00012342447082770345
5.9,3.6,7.9,2.4,4.2,2.64,Low,0.0025806938874930203,0,0,0.0006658408846536114
7.3,3.8,5.8,3.5,3.6,3.58,High,0.0054034025928558545,0,0,0.0002308601714074249
5.1,3.5,9.7,3.2,2.5,2.79,Low,0.0040647831038097704,0,0,4.306528238722381e-06
8.5,3.7,8.5,0.5,2.8,3.65,High,0.0044879645888802585,0,0,0.00036165407849633805
7.1,2.9,9.7,4.0,0.3,3.33,Moderate,0.004071774241653206,0,0,6.66550128264214e-05
7.3,0.5,9.9,5.0,1.3,3.11,Moderate,0.0037575865234919814,0,0,6.0095687195219836e-05
8.0,1.6,5.3,2.0,7.1,3.42,High,0.002630076996831915,0,0,1.8078556780434714e-05
9.0,0.0,6.7,2.4,5.9,3.51,High,0.002732382583119923,0,0,1.4080691490493037e-05
6.7,1.4,8.7,2.7,4.5,3.02,Moderate,0.00119349550411717,0,0,3.1228359207400336e-05
6.1,1.8,5.7,1.1,9.3,2.38,High,0.005625795282586448,0,0,0.0016471246732654222
9.6,1.4,7.9,3.2,1.9,3.43,High,0.00190036065866324,0,0,1.4844224397068644e-05
5.1,2.7,5.9,5.8,4.5,2.71,High,0.0034578152571537644,0,0,0.004792534891294476
5.4,4.0,7.5,3.6,3.5,2.59,Low,0.0034026208886951135,0,0,0.00013159726470828264
5.3,3.0,6.0,5.4,4.3,2.68,Low,0.003160512145943021,0,0,0.0002862962819304766
5.2,1.9,7.8,0.4,8.7,2.67,Low,0.002605351488125694,0,0,2.7259085554326157e-05
8.9,1.8,7.6,2.5,3.2,3.58,High,0.0016650787314022382,0,0,2.8628543217839455e-05
5.8,0.7,9.3,5.7,2.5,2.46,Low,0.006229947716837906,0,0,0.0006189078643031593
6.9,1.1,8.2,2.5,5.3,3.22,Moderate,0.0014891692152310789,0,0,8.388554885177714e-05
5.1,0.9,6.2,4.0,7.8,3.02,Low,0.0034503409748547747,0,0,8.909313829008782e-05
5.1,0.4,9.0,1.1,8.4,2.52,Low,0.0044041870593351275,0,0,1.2338537944476742e-05
5.5,1.0,8.6,5.1,3.8,2.97,Low,0.0034133281085665383,0,0,9.494078582794935e-05
9.2,1.6,8.3,1.0,3.9,3.5,High,0.001832133770992752,0,0,3.8423264958612005e-05
5.1,0.3,6.0,0.2,12.4,2.7,Low,0.006521904628237181,0,0,0.00022389827498047583
5.9,2.3,7.1,5.4,3.3,2.78,Low,0.0020636338282822003,0,0,0.000900705687589701
6.3,1.5,8.0,1.6,6.6,3.15,Moderate,0.0019101911450013988,0,0,9.968558141228386e-05
8.1,1.6,7.8,2.6,3.9,3.26,High,0.0006834050902646183,0,0,6.119762104569719e-05
8.8,0.6,9.3,2.6,2.7,3.3,High,0.002143928954176293,0,0,0.0002640784860536808
9.5,3.2,7.1,0.1,4.1,3.49,High,0.003020114295831572,0,0,1.0415065864667157e-05
8.2,1.0,5.7,5.0,4.1,2.89,High,0.0037284853759585535,0,0,4.1210237550269156e-05
9.9,2.1,5.9,1.6,4.5,3.52,High,0.0032880273568324367,0,0,1.5034814015040804e-06
6.4,2.2,8.3,5.0,2.1,2.76,Moderate,0.0023651623202699664,0,0,7.118862915966146e-05
6.0,0.0,5.7,5.4,6.9,2.95,High,0.003469659783428177,0,0,0.0010526179148791538
8.0,2.7,5.9,5.5,1.9,3.4,High,0.002837149509507281,0,0,4.7493260000577865e-05
7.1,1.5,7.6,0.3,7.5,3.17,Moderate,0.0016486855180944994,0,0,0.00023224054673254307
5.4,2.4,6.2,2.3,7.7,2.66,Low,0.002290005874493232,0,0,0.0002678302585775756
6.4,1.4,8.6,1.8,5.8,2.77,Moderate,0.001858805405097857,0,0,6.39179639905065e-05
8.3,3.7,8.7,0.7,2.6,3.77,High,0.005588070626051751,0,0,0.0007037558838512165
5.2,1.0,8.0,0.3,9.5,3.29,Low,0.0070264394933828855,1,0,4.5011329745544644e-05
6.7,3.1,5.5,0.5,8.2,2.99,High,0.0026933027510759465,0,0,0.00023978987498326606
8.6,2.0,8.4,2.2,2.8,3.43,High,0.0012115545243883666,0,0,8.377961638084945e-05
9.0,2.8,6.4,3.4,2.4,3.24,High,0.0021546523801858715,0,0,1.0754479886278422e-05
6.8,0.4,9.6,0.8,6.4,3.01,Moderate,0.003300194912805478,0,0,5.8050131923674826e-05
5.9,2.2,9.4,4.4,2.1,3.01,Low,0.002902610151296084,0,0,0.0002630727177988859
9.0,2.6,8.5,3.3,0.6,3.34,High,0.0016076759709025023,0,0,7.287552122461163e-05
6.1,4.0,9.7,0.2,4.0,2.58,Moderate,0.0050717697096693826,0,0,0.0012086087396176361
8.5,3.7,5.9,3.4,2.5,3.06,High,0.0031262550862406814,0,0,2.4368811945721077e-05
9.6,3.9,9.7,0.4,0.4,3.65,High,0.0052413512600232685,0,0,0.0002477935126158183
9.3,3.4,6.6,3.9,0.8,3.41,High,0.002678847584323806,0,0,9.591441253732216e-06
6.2,0.5,5.4,4.2,7.7,2.84,High,0.0032409555983967226,0,0,0.0006090346865634788
6.7,2.9,5.3,1.9,7.2,3.29,High,0.003486157237745222,0,0,0.00023807525077979927
6.6,2.5,9.4,3.4,2.1,3.03,Moderate,0.0018947612755891153,0,0,4.903227133914298e-05
6.2,0.1,9.4,0.1,8.2,2.95,Moderate,0.003602363895264499,0,0,0.0004444909573102216
9.7,3.2,10.0,0.4,0.7,3.67,High,0.00434390053659826,0,0,0.00022856899218268078
8.8,1.6,7.4,3.8,2.4,3.23,High,0.001334141418215518,0,0,2.7320374301730736e-05
7.1,3.0,6.2,0.7,7.0,3.36,Moderate,0.0032517325640141585,0,0,0.0013051398044571952
6.8,1.1,6.5,1.4,8.2,3.01,Moderate,0.0017426327362674958,0,0,0.0003788293330779521
6.9,2.7,6.1,5.7,2.6,3.08,Moderate,0.0022070550211291937,0,0,0.0006128746736492624
8.9,0.4,7.1,5.3,2.3,3.33,High,0.0027436352447866184,0,0,3.354543132937764e-05
8.1,0.7,10.0,1.2,4.0,3.35,High,0.0029586330524246276,0,0,0.0013082051897564766
9.7,2.6,8.0,1.9,1.8,3.33,High,0.0019696042303050483,0,0,1.49167898970736e-05
6.1,0.7,8.9,2.1,6.2,2.81,Moderate,0.002260281828455417,0,0,0.0002743559591413156
5.3,3.9,9.4,5.0,0.4,3.08,Low,0.006292769185845126,0,0,2.204030634402773e-05
8.5,0.6,9.1,1.3,4.5,3.16,High,0.002288955435604225,0,0,0.00035929470628332655
6.1,2.1,8.0,3.5,4.3,2.79,Moderate,0.0013355331574667127,0,0,9.753070701531139e-05
9.4,3.8,9.3,1.2,0.3,3.33,High,0.0033465601650452597,0,0,0.0001725083817245743
8.3,2.2,5.4,2.5,5.6,2.97,High,0.0029414910105778373,0,0,1.7500663416608038e-05
8.6,2.0,5.4,1.3,6.7,3.14,High,0.002947575831394952,0,0,8.920407615451472e-06
8.4,0.3,9.3,3.0,3.0,3.77,High,0.005555160794562803,0,0,0.0010044418146269636
9.1,1.4,8.4,2.9,2.2,3.26,High,0.0017806191895799266,0,0,5.980577369584033e-05
6.3,3.5,9.0,3.4,1.8,3.11,Moderate,0.0028618638955881606,0,0,0.00021693324640930249
8.5,2.7,8.1,3.5,1.2,3.38,High,0.0014447745437864044,0,0,9.673275819716537e-05
5.8,3.5,9.4,0.2,5.1,2.84,Low,0.0036019562724511458,0,0,0.0001704077502018284
6.7,3.0,5.8,4.9,3.6,3.03,High,0.0020794968320873085,0,0,0.0002887198237813255
9.2,2.0,5.0,1.7,6.1,3.42,High,0.0032291181567130085,0,0,1.949097620427349e-06
8.2,1.0,8.2,3.2,3.4,3.24,High,0.001127091541258092,0,0,0.00012839621770308716
8.9,0.4,8.8,3.2,2.7,3.32,High,0.002415131241471071,0,0,0.00016067725624486123
8.2,3.7,5.5,5.6,1.0,3.29,High,0.003454467452165745,0,0,2.9280434232124363e-05
8.4,0.3,6.5,4.2,4.6,3.29,High,0.0019889318833995247,0,0,2.8651186656155197e-05
6.7,2.5,5.2,5.2,4.4,2.86,High,0.002783530916998683,0,0,0.000236369927967873
9.9,3.9,8.7,0.2,1.3,3.8,High,0.005077580075747166,0,0,4.5697011440783304e-05
8.4,1.8,6.4,6.0,1.4,3.25,High,0.002096733825372652,0,0,3.220718103054849e-05
7.1,1.8,5.8,4.8,4.5,2.86,High,0.002085716126206275,0,0,0.00016401446465982635
5.4,2.7,8.3,1.6,6.0,2.95,Low,0.0024317526992833796,0,0,3.9028449420764966e-05
9.8,0.6,7.2,5.7,0.7,3.84,High,0.0046451388095784685,0,0,1.0698926144047295e-05
7.0,1.1,9.9,2.5,3.5,2.84,Moderate,0.0027260082960759244,0,0,3.177798679986184e-05
9.5,0.9,6.1,0.2,7.3,3.17,High,0.004755948047258493,0,0,5.760566315038756e-06
9.3,1.9,9.8,0.6,2.4,3.68,High,0.0036353013429905566,0,0,0.00028095347238092937
9.3,3.1,8.9,2.3,0.4,3.52,High,0.0023077978855406073,0,0,8.700067455078333e-05
5.7,0.1,9.6,3.7,4.9,3.12,Low,0.005068127252847447,0,0,0.00015883017787919667
9.0,1.9,5.6,0.8,6.7,3.21,High,0.0031162057113846586,0,0,5.481506932539064e-06
6.0,2.0,5.3,3.5,7.2,3.26,High,0.003825731223739435,0,0,0.0007766085248770005
6.3,3.2,6.6,2.7,5.2,2.85,Moderate,0.0015517801137925444,0,0,0.00013706740492874748
8.0,1.2,8.5,5.2,1.1,2.72,Moderate,0.004845320340801736,0,0,0.0007547558766595697
8.9,0.2,7.4,0.6,6.9,3.33,High,0.002813981884481259,0,0,3.731560859034473e-05
8.1,2.8,7.8,0.1,5.2,2.98,High,0.0022197267799241175,0,0,0.00020957826821669994
6.6,2.1,5.4,2.1,7.8,2.79,High,0.0023627597690590654,0,0,0.00024938003052939455
7.8,2.8,9.0,0.9,3.5,3.11,Moderate,0.0015447442345383642,0,0,0.00015089219023802137
5.8,0.4,8.2,4.2,5.4,2.88,Low,0.0024197051565458616,0,0,0.00040620794652900015
8.5,3.5,8.6,2.7,0.7,3.15,High,0.002072767478360458,0,0,0.0002451989353961137
6.7,3.3,5.4,5.4,3.2,3.27,High,0.003759530966440714,0,0,0.0003396520330146097
7.3,2.6,7.6,4.4,2.1,3.13,Moderate,0.0010649361867353325,0,0,0.00015854754169465705
5.4,0.2,6.2,1.0,11.2,2.75,Low,0.003835977533152746,0,0,0.0004883165352037411
9.9,1.3,5.9,4.7,2.2,3.57,High,0.0037288697895836703,0,0,1.888695837388891e-06
8.3,2.0,7.8,4.2,1.7,3.25,High,0.001199391695930261,0,0,8.667664234840158e-05
6.0,2.7,5.4,0.2,9.7,2.92,High,0.0038830110888355275,0,0,0.0008700426102086528
6.3,1.9,9.3,4.4,2.1,2.85,Moderate,0.0025774364085319173,0,0,0.0001754448660211761
6.7,1.5,9.9,0.2,5.7,3.32,Moderate,0.0043019281974678,0,0,0.00012239420454813972
9.3,2.3,7.2,3.8,1.4,3.61,High,0.0023844766624584613,0,0,1.4281274816097763e-05
9.5,1.7,6.4,3.6,2.8,3.42,High,0.002123400617359094,0,0,3.903087517215647e-06
9.6,0.8,8.1,3.5,2.0,3.31,High,0.0026374764127897396,0,0,2.6935347717213155e-05
8.6,3.6,5.9,1.4,4.5,3.37,High,0.002805349490828381,0,0,1.4226682614865595e-05
9.9,0.7,9.3,2.0,2.1,3.59,High,0.0034220210844966986,0,0,6.239839563914752e-05
7.2,2.1,6.8,3.6,4.3,3.01,Moderate,0.0007790956922249622,0,0,0.00019531804833690074
5.8,1.6,9.8,1.5,5.3,2.61,Low,0.003583404647784133,0,0,0.00017375478283089468
8.9,0.5,9.8,2.2,2.6,3.57,High,0.003641849709427832,0,0,0.0005386116792606884
6.2,0.3,5.8,3.1,8.6,3.13,High,0.003884978577217911,0,0,0.0008735705313819452
7.2,1.0,8.1,4.2,3.5,2.98,Moderate,0.0014632665173179994,0,0,0.00011965716307826566
5.8,0.7,5.2,4.4,7.9,2.81,High,0.0025820955613429877,0,0,0.0007261879511697234
9.2,3.2,7.9,3.2,0.5,3.8,High,0.004623234591511883,0,0,6.558600076416082e-05
6.0,0.4,6.3,0.3,11.0,3.05,Moderate,0.003961898911074442,0,0,0.0004596173649541429
