Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_High,Stress_Low,Stress_Moderate,Leverage,High_Leverage_2p,High_Leverage_3p,Cook_Distance
8.2,0.7,8.5,2.3,4.3,3.24,1,0,0,0.002229622348785861,0,0,5.416813134218087e-08
9.7,0.6,6.7,0.7,6.3,3.62,1,0,0,0.004343234056031826,0,0,0.0002876504670447351
9.1,2.2,7.6,1.2,3.9,3.12,1,0,0,0.001551742799869168,0,0,0.0002880921207895738
5.5,3.6,9.5,3.4,2.0,2.58,0,1,0,0.0059598550418915675,0,0,0.000925379653859245
8.6,3.6,9.4,1.9,0.5,3.03,1,0,0,0.00420401432878328,0,0,0.0007658134479416487
8.2,0.3,5.8,5.4,4.3,3.29,1,0,0,0.003141599535411343,0,0,1.2179116870917281e-05
5.0,0.6,7.7,4.2,6.5,2.61,0,1,0,0.004826629074951431,0,0,0.0003223969434238984
8.3,0.9,8.6,1.4,4.8,3.48,1,0,0,0.001978005333293722,0,0,0.00032179822023737113
8.2,3.4,8.3,2.3,1.8,3.07,1,0,0,0.0026023870857433615,0,0,0.00017442074480064954
5.5,1.5,6.3,1.5,9.2,2.81,0,1,0,0.005563338102195494,0,0,6.128802307730733e-06
9.5,2.5,9.0,1.5,1.5,3.49,1,0,0,0.002635870966188888,0,0,3.837207390533985e-05
7.9,2.0,6.0,4.3,3.8,2.97,0,0,1,0.003922117280786633,0,0,0.0005190668367852033
9.7,3.8,9.6,0.3,0.6,3.55,1,0,0,0.0052137155479162,0,0,0.00020028818057209592
5.1,3.7,7.1,5.8,2.3,2.6,0,1,0,0.005159809234912118,0,0,0.00037787109299035733
9.3,1.3,5.8,3.3,4.3,3.09,1,0,0,0.0030317174370166652,0,0,0.0009728798077657899
9.7,2.8,7.9,0.3,3.3,3.47,1,0,0,0.002284679496898078,0,0,2.275007806582379e-06
9.4,3.0,8.5,2.2,0.9,3.18,1,0,0,0.0022306134097055813,0,0,0.0003451886644284708
6.8,1.2,9.0,4.9,2.1,3.12,0,0,1,0.003275585369039934,0,0,0.00013541142189597906
9.0,2.6,8.5,3.1,0.8,4.0,1,0,0,0.002289435710924472,0,0,0.002985827465934476
9.5,1.4,6.9,0.6,5.6,3.33,1,0,0,0.0030058937967678825,0,0,0.00010287970197420876
7.3,2.2,6.4,3.5,4.6,3.11,0,0,1,0.0024337978779333577,0,0,6.254896182732505e-06
5.2,0.1,9.1,2.2,7.4,2.79,0,1,0,0.006709700548096041,0,0,7.864219770080809e-07
8.8,0.9,8.1,0.5,5.7,3.1,1,0,0,0.001925753623370372,0,0,0.0003037012459403216
5.3,2.1,7.7,3.8,5.1,2.39,0,1,0,0.003479556732741733,0,0,0.0017246675202476855
9.0,1.1,7.2,0.5,6.2,3.39,1,0,0,0.0020921999906334094,0,0,5.913767831234642e-06
5.1,3.9,9.2,4.0,1.8,2.52,0,1,0,0.006355684974546101,0,0,0.0009711609865804151
5.8,1.0,7.7,4.3,5.2,2.8,0,1,0,0.004156354658143766,0,0,7.712659374414102e-05
8.3,1.1,9.8,3.5,1.3,3.67,1,0,0,0.004190464860165963,0,0,0.0023097822781905945
7.1,1.0,6.8,4.5,4.6,3.27,0,0,1,0.0022328619886958353,0,0,0.0003041368562065208
5.1,0.5,5.2,0.2,13.0,2.85,1,0,0,0.010805663539820588,1,0,0.0002138950839621197
7.4,0.4,7.5,2.8,5.9,3.26,0,0,1,0.0029268612755951008,0,0,0.00021628312234456837
5.9,1.7,7.0,3.7,5.7,2.8,0,1,0,0.004272662748267505,0,0,0.00010548758865095834
6.9,2.5,7.5,5.1,2.0,3.06,0,0,1,0.002305919906602796,0,0,1.4007681850526253e-05
8.3,0.7,5.4,3.9,5.7,3.26,1,0,0,0.003052262261694438,0,0,3.608854645451019e-07
9.7,2.3,6.9,3.3,1.8,3.38,1,0,0,0.0020991232104948347,0,0,4.4933671134509015e-05
7.3,2.2,9.7,1.9,2.9,3.15,0,0,1,0.002653938002307333,0,0,5.6467197400978755e-05
5.4,1.3,9.2,0.1,8.0,2.69,0,1,0,0.004259339421602936,0,0,0.00016539762218197872
9.1,1.1,5.6,4.2,4.0,3.54,1,0,0,0.0031051265207089973,0,0,0.0002254664023396486
8.7,3.2,6.4,1.0,4.7,3.37,1,0,0,0.0023808608862989303,0,0,3.4249324221324644e-05
8.8,3.2,10.0,0.8,1.2,3.58,1,0,0,0.004305752742516966,0,0,0.001012861581109522
6.7,3.7,9.3,1.8,2.5,2.89,0,0,1,0.0038306806519626292,0,0,6.525607159495527e-05
8.8,3.0,5.5,5.4,1.3,3.58,1,0,0,0.0028950215098158616,0,0,0.00056405444586248
6.6,3.6,6.9,0.1,6.8,2.99,0,0,1,0.0037209291051952544,0,0,1.3089541714801475e-05
9.5,0.4,6.6,5.7,1.8,3.44,1,0,0,0.0035662283030192996,0,0,1.431264159377178e-06
8.2,1.8,6.5,2.0,5.5,3.35,1,0,0,0.0014492516579291308,0,0,5.767658334688418e-05
8.4,3.0,9.0,2.8,0.8,3.26,1,0,0,0.0028828027821178144,0,0,9.179546596763173e-07
5.3,2.2,7.2,5.3,4.0,2.62,0,1,0,0.0038582297058863445,0,0,0.0003631860937769533
6.8,0.5,5.7,4.6,6.4,2.86,1,0,0,0.0031157285437550543,0,0,0.00029799967559843496
5.4,2.8,5.4,4.9,5.5,2.86,1,0,0,0.006436479517231487,0,0,5.923132855650602e-05
8.5,0.3,5.4,5.9,3.9,2.99,1,0,0,0.00394609218371804,0,0,0.0011866926071532815
9.1,3.8,9.9,0.9,0.3,3.08,1,0,0,0.004420307775960014,0,0,0.0009596929963951233
6.9,0.3,8.9,3.4,4.5,3.21,0,0,1,0.0030641412262810298,0,0,0.0003243416634085441
5.6,2.0,5.1,2.8,8.5,2.81,1,0,0,0.004784358563391607,0,0,1.3475527793993769e-05
5.3,0.5,5.6,3.9,8.7,2.9,1,0,0,0.006976021200508873,0,0,0.000194999560477351
9.8,1.5,6.4,5.2,1.1,3.78,1,0,0,0.0034049873766890644,0,0,0.0008820504434576425
6.1,3.9,5.1,5.8,3.1,2.96,1,0,0,0.005204813158592255,0,0,4.428569992088705e-05
5.4,2.2,9.8,3.1,3.5,2.81,0,1,0,0.0052963196198583945,0,0,2.4327701103099506e-06
8.1,2.8,7.3,3.6,2.2,3.39,1,0,0,0.0016645828548092342,0,0,0.0001605121329525352
5.2,1.1,9.8,5.3,2.6,2.82,0,1,0,0.006625136460264898,0,0,3.56128459833749e-05
7.3,2.5,6.4,1.1,6.7,2.67,0,0,1,0.0029977034050161794,0,0,0.0015109160729342027
7.9,0.3,9.9,5.8,0.1,3.08,0,0,1,0.005841859705686959,0,0,0.00017313406748353411
8.5,2.1,6.5,4.9,2.0,3.1,1,0,0,0.0014176360028831047,0,0,0.00014678556178489052
9.6,3.3,9.7,1.0,0.4,3.54,1,0,0,0.004554273425073274,0,0,0.0001780534118614938
8.1,1.7,9.7,3.9,0.6,3.45,1,0,0,0.00498911851192918,0,0,0.0008683378944688121
9.9,0.6,8.0,2.1,3.4,3.39,1,0,0,0.0031138065136215552,0,0,0.00011832126042607709
9.8,3.4,9.2,0.7,0.9,3.15,1,0,0,0.004409828380814623,0,0,0.00129282826419517
5.3,3.5,9.1,6.0,0.1,2.68,0,1,0,0.0062815057932967665,0,0,0.00019178569170150608
10.0,2.2,8.8,2.8,0.2,3.41,1,0,0,0.0028596688441409205,0,0,7.567454434964744e-05
7.3,0.5,9.8,3.6,2.8,3.22,0,0,1,0.003868411447863546,0,0,0.00022847080248892846
6.1,2.7,8.1,2.1,5.0,2.98,0,0,1,0.0024184355145680297,0,0,6.786547243484988e-05
7.6,3.1,7.6,4.9,0.8,2.99,0,0,1,0.0036736017735043546,0,0,0.00018535079942945753
7.8,2.2,9.4,1.9,2.7,3.3,0,0,1,0.0024592030528593815,0,0,0.00018151090006413622
8.5,0.9,5.7,0.1,8.8,3.55,1,0,0,0.0033535972878108358,0,0,0.0007011290090018094
6.8,2.4,7.0,2.6,5.2,2.97,0,0,1,0.0018308274580042271,0,0,4.732567421628076e-06
7.6,3.1,7.0,3.7,2.6,3.28,0,0,1,0.002928430089087072,0,0,0.00023377630949075417
9.3,3.8,5.7,4.8,0.4,3.05,1,0,0,0.005352844728865149,0,0,0.0019909186153882676
7.3,3.9,7.5,1.7,3.6,3.08,0,0,1,0.003121130750758438,0,0,3.1604040615558557e-06
8.2,1.0,5.4,0.8,8.6,3.3,1,0,0,0.005097432202065769,0,0,4.89606003789065e-05
5.9,1.4,9.5,2.8,4.4,2.7,0,1,0,0.004444762926884689,0,0,0.0004498941083212221
8.3,0.7,6.0,0.2,8.8,3.14,1,0,0,0.004111748069339569,0,0,0.00017817658355750762
5.9,0.4,5.6,2.8,9.3,2.73,1,0,0,0.005932495555309794,0,0,0.0005073587204665925
6.0,1.5,7.5,4.1,4.9,2.76,0,0,1,0.0022005918460381592,0,0,0.00010168361736402287
9.4,3.7,5.3,1.6,4.0,3.45,1,0,0,0.005190424415568672,0,0,2.5005663662357802e-05
9.0,3.0,5.9,1.3,4.8,3.29,1,0,0,0.0031416264385472716,0,0,3.635623571465445e-05
8.1,1.5,7.3,4.5,2.6,2.75,1,0,0,0.0016541986946396227,0,0,0.0011338341417339625
5.2,1.0,8.6,5.4,3.8,3.4,0,1,0,0.0055431289952402344,0,0,0.006493385915095238
5.5,1.8,7.7,1.5,7.5,3.05,0,1,0,0.003749388762287101,0,0,0.0006010190630016847
6.3,1.5,5.1,1.9,9.2,2.82,1,0,0,0.004504011595218018,0,0,0.00023591297908467522
5.6,3.6,8.0,4.1,2.7,2.62,0,1,0,0.004871728625669176,0,0,0.0006378156144912477
8.9,2.0,5.4,3.2,4.5,3.64,1,0,0,0.0028175946967674828,0,0,0.0007366784650610999
7.2,0.5,6.4,2.2,7.7,3.19,0,0,1,0.0037354687193154722,0,0,0.00014809470849969997
8.2,2.3,6.8,5.9,0.8,2.95,1,0,0,0.0016668358394884343,0,0,0.0004190065225244242
5.5,0.6,6.2,1.0,10.7,2.94,0,1,0,0.004936679751498122,0,0,0.00016684017212252895
5.9,1.1,5.9,5.4,5.7,2.89,1,0,0,0.005694927405347552,0,0,2.693038511360509e-07
7.1,3.9,5.6,2.4,5.0,2.9,1,0,0,0.0034408596391495216,0,0,0.0002530424619779087
9.8,3.5,9.1,0.4,1.2,3.57,1,0,0,0.0037675800450707748,0,0,0.00014535308891315232
9.6,2.2,7.9,1.2,3.1,3.24,1,0,0,0.0016318868079709214,0,0,0.00020427750303376934
8.8,0.7,6.6,2.6,5.3,2.99,1,0,0,0.0021358805315435095,0,0,0.0007872810448612696
5.6,2.4,6.4,3.5,6.1,2.85,0,1,0,0.004132441466881176,0,0,1.240533769599796e-06
5.8,1.9,7.7,0.3,8.3,2.7,0,1,0,0.004133632629190336,0,0,0.000347232499735064
5.3,4.0,6.6,4.9,3.2,2.72,0,1,0,0.005445269293841404,0,0,6.727141310698555e-05
6.3,2.7,8.8,3.6,2.6,2.45,0,0,1,0.0028950503425688758,0,0,0.0019168242204368343
6.7,3.7,9.2,4.2,0.2,2.85,0,0,1,0.004458786789846021,0,0,0.00019180407695727596
5.6,2.9,9.7,1.1,4.7,2.86,0,1,0,0.005125677707981839,0,0,2.412232165767008e-05
7.9,3.4,5.7,4.8,2.2,3.15,1,0,0,0.0025027276622216995,0,0,9.265640908459457e-06
6.0,0.7,5.8,4.9,6.6,2.96,1,0,0,0.004875473195385493,0,0,3.46732822876828e-05
6.8,3.5,7.0,4.9,1.8,3.44,0,0,1,0.002674901283242879,0,0,0.0016294677143757746
7.2,1.5,7.3,1.8,6.2,3.08,0,0,1,0.0020407881595486286,0,0,1.3853491221547601e-06
6.2,3.6,6.9,3.3,4.0,3.27,0,0,1,0.002591158959717647,0,0,0.0010922586147280955
9.5,2.5,5.6,5.6,0.8,3.13,1,0,0,0.0029947540711440642,0,0,0.0008790856396424888
5.7,3.2,8.1,3.2,3.8,3.08,0,1,0,0.004223574201316399,0,0,0.0007297743817044426
9.5,3.2,5.8,1.7,3.8,3.59,1,0,0,0.004230927168924495,0,0,0.0003419080650549287
5.2,2.3,8.8,5.3,2.4,2.61,0,1,0,0.004787852100251268,0,0,0.0003917664301380604
6.7,3.3,5.6,5.1,3.3,2.95,1,0,0,0.0034749115993478147,0,0,2.8269317995876247e-05
9.0,0.6,6.1,4.3,4.0,3.15,1,0,0,0.00272144399372641,0,0,0.00041399560137537415
8.6,2.6,8.5,2.3,2.0,3.14,1,0,0,0.0021582221071290864,0,0,0.00013835334893890625
5.9,3.6,7.9,2.4,4.2,2.64,0,1,0,0.0044995502931467575,0,0,0.0007345531155160833
7.3,3.8,5.8,3.5,3.6,3.58,1,0,0,0.0028382088634173745,0,0,0.002113633080801185
5.1,3.5,9.7,3.2,2.5,2.79,0,1,0,0.006584864802914966,0,0,4.5992168775430666e-05
8.5,3.7,8.5,0.5,2.8,3.65,1,0,0,0.0027598521259734714,0,0,0.0012963328115195329
7.1,2.9,9.7,4.0,0.3,3.33,0,0,1,0.004111069622053092,0,0,0.0011095721169719415
7.3,0.5,9.9,5.0,1.3,3.11,0,0,1,0.00491920890442279,0,0,1.1053081966757176e-05
8.0,1.6,5.3,2.0,7.1,3.42,1,0,0,0.002293720082397424,0,0,0.0003069128192393921
9.0,0.0,6.7,2.4,5.9,3.51,1,0,0,0.0032661134281779156,0,0,0.00018999884797480683
6.7,1.4,8.7,2.7,4.5,3.02,0,0,1,0.0020939944287037496,0,0,7.850384010825647e-06
6.1,1.8,5.7,1.1,9.3,2.38,1,0,0,0.004382576671009404,0,0,0.0038453066203364447
9.6,1.4,7.9,3.2,1.9,3.43,1,0,0,0.0025465908246688363,0,0,3.471535275894271e-06
5.1,2.7,5.9,5.8,4.5,2.71,1,0,0,0.007476035192540948,0,0,5.6473914654673486e-05
5.4,4.0,7.5,3.6,3.5,2.59,0,1,0,0.004928605453225517,0,0,0.000628824960749357
5.3,3.0,6.0,5.4,4.3,2.68,0,1,0,0.00490045760681801,0,0,0.00019483090255657982
5.2,1.9,7.8,0.4,8.7,2.67,0,1,0,0.0047080723866548884,0,0,0.00015274798232583394
8.9,1.8,7.6,2.5,3.2,3.58,1,0,0,0.0013083531372606399,0,0,0.00022956265157231105
5.8,0.7,9.3,5.7,2.5,2.46,0,1,0,0.005995375475220413,0,0,0.0032023547998404384
6.9,1.1,8.2,2.5,5.3,3.22,0,0,1,0.0018061664472759993,0,0,0.0002219868675598544
5.1,0.9,6.2,4.0,7.8,3.02,0,1,0,0.003372160859540908,0,0,0.0006178170322315023
5.1,0.4,9.0,1.1,8.4,2.52,0,1,0,0.005875161870920963,0,0,0.0010879618330068275
5.5,1.0,8.6,5.1,3.8,2.97,0,1,0,0.004611639789507229,0,0,0.0002807575679962153
9.2,1.6,8.3,1.0,3.9,3.5,1,0,0,0.0017257289377159049,0,0,7.177774679567772e-05
5.1,0.3,6.0,0.2,12.4,2.7,0,1,0,0.009200372483069288,1,0,0.00016261255794757448
5.9,2.3,7.1,5.4,3.3,2.78,0,1,0,0.0046209518544967606,0,0,0.00016344940291518033
6.3,1.5,8.0,1.6,6.6,3.15,0,0,1,0.0020624197786885353,0,0,0.00032347947718511705
8.1,1.6,7.8,2.6,3.9,3.26,1,0,0,0.0012892230106966592,0,0,6.91997077224062e-06
8.8,0.6,9.3,2.6,2.7,3.3,1,0,0,0.0030601018500135213,0,0,7.273344237977618e-06
9.5,3.2,7.1,0.1,4.1,3.49,1,0,0,0.0031817828980954415,0,0,4.66949444284798e-05
8.2,1.0,5.7,5.0,4.1,2.89,1,0,0,0.002164129348133021,0,0,0.0008542687535645242
9.9,2.1,5.9,1.6,4.5,3.52,1,0,0,0.0042309475871383125,0,0,6.8003787931384126e-06
6.4,2.2,8.3,5.0,2.1,2.76,0,0,1,0.0030222098742474822,0,0,0.00029242424409521036
6.0,0.0,5.7,5.4,6.9,2.95,1,0,0,0.005693356525265345,0,0,1.774361197032842e-05
8.0,2.7,5.9,5.5,1.9,3.4,1,0,0,0.0019767483844146975,0,0,0.00022859709068437974
7.1,1.5,7.6,0.3,7.5,3.17,0,0,1,0.0030404760880157777,0,0,0.00014231554921180256
5.4,2.4,6.2,2.3,7.7,2.66,0,1,0,0.004363220849686462,0,0,0.0002952516289879806
6.4,1.4,8.6,1.8,5.8,2.77,0,0,1,0.002470190075380938,0,0,0.00021330355627268045
8.3,3.7,8.7,0.7,2.6,3.77,1,0,0,0.0028702898929786375,0,0,0.0025919535647790128
5.2,1.0,8.0,0.3,9.5,3.29,0,1,0,0.005149148133110031,0,0,0.004150112041621704
6.7,3.1,5.5,0.5,8.2,2.99,1,0,0,0.003857333537457403,0,0,5.416794757256452e-07
8.6,2.0,8.4,2.2,2.8,3.43,1,0,0,0.0015621122717574005,0,0,9.44802021881386e-05
9.0,2.8,6.4,3.4,2.4,3.24,1,0,0,0.0018660914722894604,0,0,7.430278476612264e-05
6.8,0.4,9.6,0.8,6.4,3.01,0,0,1,0.00328522237380946,0,0,6.743592966730191e-07
5.9,2.2,9.4,4.4,2.1,3.01,0,1,0,0.0054159070428947634,0,0,0.00029031812112777667
9.0,2.6,8.5,3.3,0.6,3.34,1,0,0,0.0028876259912592565,0,0,5.289266323200319e-07
6.1,4.0,9.7,0.2,4.0,2.58,0,0,1,0.005798492902302074,0,0,0.0014637229698920174
8.5,3.7,5.9,3.4,2.5,3.06,1,0,0,0.0029575080328536744,0,0,0.00040846788544573185
9.6,3.9,9.7,0.4,0.4,3.65,1,0,0,0.003519238056541597,0,0,0.0005618510339664007
9.3,3.4,6.6,3.9,0.8,3.41,1,0,0,0.003211875561535937,0,0,1.9855969348496166e-06
6.2,0.5,5.4,4.2,7.7,2.84,1,0,0,0.005466402220991382,0,0,0.00018465538727058137
6.7,2.9,5.3,1.9,7.2,3.29,1,0,0,0.003679749660985195,0,0,0.0009440649170781327
6.6,2.5,9.4,3.4,2.1,3.03,0,0,1,0.003402468917876671,0,0,5.134612550185786e-05
6.2,0.1,9.4,0.1,8.2,2.95,0,0,1,0.005551412610814099,0,0,2.5538884176021493e-05
9.7,3.2,10.0,0.4,0.7,3.67,1,0,0,0.004813490618006767,0,0,0.0007738839533407285
8.8,1.6,7.4,3.8,2.4,3.23,1,0,0,0.0013080473672727392,0,0,3.9251261805975344e-05
7.1,3.0,6.2,0.7,7.0,3.36,0,0,1,0.003982145640425957,0,0,0.0012450385172999882
6.8,1.1,6.5,1.4,8.2,3.01,0,0,1,0.0036610107459840663,0,0,1.5526669206614e-08
6.9,2.7,6.1,5.7,2.6,3.08,0,0,1,0.0029676402304750884,0,0,3.2809614997599345e-05
8.9,0.4,7.1,5.3,2.3,3.33,1,0,0,0.002890943980859307,0,0,6.283312932507201e-06
8.1,0.7,10.0,1.2,4.0,3.35,1,0,0,0.004556286505174381,0,0,0.0002565217392074247
9.7,2.6,8.0,1.9,1.8,3.33,1,0,0,0.0019341483847335687,0,0,9.304007273108319e-05
6.1,0.7,8.9,2.1,6.2,2.81,0,0,1,0.0036851980755359262,0,0,8.410158934683124e-05
5.3,3.9,9.4,5.0,0.4,3.08,0,1,0,0.008718249508497398,1,0,0.0025334906941871355
8.5,0.6,9.1,1.3,4.5,3.16,1,0,0,0.0027474393114245857,0,0,0.00012230823275430656
6.1,2.1,8.0,3.5,4.3,2.79,0,0,1,0.0022716876134130583,0,0,7.111994986351358e-05
9.4,3.8,9.3,1.2,0.3,3.33,1,0,0,0.00553410842294002,0,0,7.099396003121504e-05
8.3,2.2,5.4,2.5,5.6,2.97,1,0,0,0.0021902031692288557,0,0,0.0005374339445435671
8.6,2.0,5.4,1.3,6.7,3.14,1,0,0,0.0030607594156485873,0,0,0.00023752704954385854
8.4,0.3,9.3,3.0,3.0,3.77,1,0,0,0.003661937051775082,0,0,0.0028225117304551215
9.1,1.4,8.4,2.9,2.2,3.26,1,0,0,0.0015778850032979346,0,0,6.034614254901745e-05
6.3,3.5,9.0,3.4,1.8,3.11,0,0,1,0.003986208117238413,0,0,0.0005012206059640618
8.5,2.7,8.1,3.5,1.2,3.38,1,0,0,0.0016552221137123599,0,0,5.9352237481828436e-05
5.8,3.5,9.4,0.2,5.1,2.84,0,1,0,0.005412134041334043,0,0,8.352778001827301e-07
6.7,3.0,5.8,4.9,3.6,3.03,1,0,0,0.003012126171105138,0,0,6.892390299763174e-06
9.2,2.0,5.0,1.7,6.1,3.42,1,0,0,0.004932462057257935,0,0,1.0663522309378229e-05
8.2,1.0,8.2,3.2,3.4,3.24,1,0,0,0.0018231684433031342,0,0,3.9470541566446414e-08
8.9,0.4,8.8,3.2,2.7,3.32,1,0,0,0.002693164521107191,0,0,6.200695809083347e-06
8.2,3.7,5.5,5.6,1.0,3.29,1,0,0,0.003515190651276839,0,0,3.806203121890708e-05
8.4,0.3,6.5,4.2,4.6,3.29,1,0,0,0.0024796513227038322,0,0,6.178570150990479e-07
6.7,2.5,5.2,5.2,4.4,2.86,1,0,0,0.003101331798015367,0,0,0.0002112680354492723
9.9,3.9,8.7,0.2,1.3,3.8,1,0,0,0.004444963138346509,0,0,0.001475043214091984
8.4,1.8,6.4,6.0,1.4,3.25,1,0,0,0.002366115292182272,0,0,3.7643380532196115e-06
7.1,1.8,5.8,4.8,4.5,2.86,1,0,0,0.002429605250156872,0,0,0.0003378518796570033
5.4,2.7,8.3,1.6,6.0,2.95,0,1,0,0.003923892319481956,0,0,0.0002806702343700254
9.8,0.6,7.2,5.7,0.7,3.84,1,0,0,0.004180696704615459,0,0,0.0015390463602136283
7.0,1.1,9.9,2.5,3.5,2.84,0,0,1,0.0035480791624031725,0,0,0.00038816363096483216
9.5,0.9,6.1,0.2,7.3,3.17,1,0,0,0.004858924275234528,0,0,0.0011042407858331087
9.3,1.9,9.8,0.6,2.4,3.68,1,0,0,0.0033993533160044916,0,0,0.0008743995744656391
9.3,3.1,8.9,2.3,0.4,3.52,1,0,0,0.0015155468466372508,0,0,8.156729740436225e-05
5.7,0.1,9.6,3.7,4.9,3.12,0,1,0,0.006610208863089496,0,0,0.0013681805558511488
9.0,1.9,5.6,0.8,6.7,3.21,1,0,0,0.0035089305629274255,0,0,0.00024226652298073932
6.0,2.0,5.3,3.5,7.2,3.26,1,0,0,0.005158049659088769,0,0,0.002034941852386293
6.3,3.2,6.6,2.7,5.2,2.85,0,0,1,0.0024901758313012564,0,0,3.499872408673591e-05
8.0,1.2,8.5,5.2,1.1,2.72,0,0,1,0.003270563413752108,0,0,0.0022265778853346294
8.9,0.2,7.4,0.6,6.9,3.33,1,0,0,0.0026234152192862264,0,0,3.313351925153835e-06
8.1,2.8,7.8,0.1,5.2,2.98,1,0,0,0.001641120992430805,0,0,0.00025553244193665827
6.6,2.1,5.4,2.1,7.8,2.79,1,0,0,0.003389660756672875,0,0,0.0004221339118443592
7.8,2.8,9.0,0.9,3.5,3.11,0,0,1,0.0022684748181022304,0,0,6.408173890050504e-06
5.8,0.4,8.2,4.2,5.4,2.88,0,1,0,0.004331127202459742,0,0,3.951978849764338e-10
8.5,3.5,8.6,2.7,0.7,3.15,1,0,0,0.0033279978421084664,0,0,0.00013001053302184583
6.7,3.3,5.4,5.4,3.2,3.27,1,0,0,0.003554905013884342,0,0,0.0007802449763073645
7.3,2.6,7.6,4.4,2.1,3.13,0,0,1,0.0021421190676882453,0,0,1.98658176307754e-05
5.4,0.2,6.2,1.0,11.2,2.75,0,1,0,0.01016674261002368,1,0,0.00016764894938446867
9.9,1.3,5.9,4.7,2.2,3.57,1,0,0,0.005086383634976094,0,0,6.120215484971976e-05
8.3,2.0,7.8,4.2,1.7,3.25,1,0,0,0.0017674202121980415,0,0,1.7245994399647385e-08
6.0,2.7,5.4,0.2,9.7,2.92,1,0,0,0.005790079863002567,0,0,1.414660597302853e-05
